time,type,value
1646373603.9608169,meditation,75
1646373604.932972,attention,44
1646373604.933967,meditation,75
1646373605.933133,attention,40
1646373605.933133,meditation,67
1646373606.9316978,attention,35
1646373606.9327064,meditation,48
1646373607.931701,attention,38
1646373607.931701,meditation,43
1646373608.9325097,attention,43
1646373608.9335182,meditation,53
1646373609.9305174,attention,43
1646373609.931523,meditation,67
1646373610.9528117,attention,57
1646373610.9538016,meditation,77
1646373611.9297936,attention,57
1646373611.9307985,meditation,77
1646373612.9309547,attention,53
1646373612.9309547,meditation,83
1646373613.9335337,attention,53
1646373613.9335337,meditation,83
1646373614.9845366,attention,53
1646373614.985534,meditation,83
1646373615.930507,attention,47
1646373615.930507,meditation,88
1646373616.9305084,attention,41
1646373616.9335227,meditation,69
1646373617.9335222,attention,40
1646373617.9335222,meditation,66
1646373618.9309647,attention,41
1646373618.9319706,meditation,51
1646373619.9309573,attention,56
1646373619.9309573,meditation,48
1646373620.9299562,attention,75
1646373620.930961,meditation,57
1646373621.962956,attention,61
1646373621.9639645,meditation,63
1646373622.9307892,attention,63
1646373622.9317796,meditation,69
1646373623.9307709,attention,67
1646373623.9307709,meditation,67
1646373624.9306264,attention,50
1646373624.931621,meditation,60
1646373625.9306338,attention,51
1646373625.9316263,meditation,69
1646373626.9311945,attention,57
1646373626.9311945,meditation,77
1646373627.931183,attention,63
1646373627.931183,meditation,77
1646373628.9638603,attention,77
1646373628.9638603,meditation,88
1646373629.932556,attention,67
1646373629.9335575,meditation,77
1646373630.9302583,attention,60
1646373630.9312613,meditation,69
1646373631.9312663,attention,47
1646373631.9312663,meditation,61
1646373632.9511569,attention,35
1646373632.9511569,meditation,61
1646373633.9347062,attention,35
1646373633.9367118,meditation,53
1646373634.9307454,attention,23
1646373634.9307454,meditation,40
1646373635.9447439,attention,20
1646373635.9447439,meditation,37
1646373636.9307458,attention,38
1646373636.9307458,meditation,38
1646373637.930743,attention,37
1646373637.930743,meditation,41
1646373638.9307315,attention,43
1646373638.931737,meditation,51
1646373639.9637268,attention,48
1646373639.964738,meditation,47
1646373640.9327343,attention,38
1646373640.9327343,meditation,37
1646373641.930735,attention,41
1646373641.9317317,meditation,48
1646373642.931312,attention,41
1646373642.9323225,meditation,48
1646373643.9313164,attention,41
1646373643.932331,meditation,48
1646373644.93264,attention,57
1646373644.9336298,meditation,54
1646373645.9307537,attention,63
1646373645.9307537,meditation,57
1646373646.9627433,attention,64
1646373646.9637454,meditation,75
1646373647.9307463,attention,70
1646373647.9307463,meditation,75
1646373648.930792,attention,57
1646373648.9318066,meditation,66
1646373649.9307876,attention,43
1646373649.9307876,meditation,57
1646373650.9321544,attention,43
1646373650.933165,meditation,57
1646373651.9311647,attention,44
1646373651.9311647,meditation,40
1646373652.9320796,attention,44
1646373652.933088,meditation,43
1646373653.947136,attention,48
1646373653.947136,meditation,51
1646373654.9310718,attention,50
1646373654.9310718,meditation,53
1646373655.9325876,attention,53
1646373655.9335952,meditation,66
1646373656.9322772,attention,60
1646373656.9322772,meditation,60
1646373657.9817648,attention,69
1646373657.9827602,meditation,60
1646373658.9306083,attention,77
1646373658.931612,meditation,69
1646373659.9295943,attention,77
1646373659.9295943,meditation,69
1646373660.9325964,attention,70
1646373660.9336019,meditation,63
1646373661.9305978,attention,80
1646373661.9346035,meditation,61
1646373662.9294374,attention,80
1646373662.9294374,meditation,61
1646373663.929028,attention,80
1646373663.929028,meditation,61
1646373664.9636586,attention,60
